
text,label
"Earn $5000 weekly from home no experience needed",1
"Urgent hiring! Send your bank details immediately",1
"Work from home and make $10000 per month easily",1
"No interview needed, job guaranteed, pay registration fee",1
"We are hiring a Software Engineer at Google, apply on our careers page",0
"Join our team as a Data Analyst, competitive salary and benefits",0
"Full time position available for Frontend Developer, send resume to hr@company.com",0
"We are looking for a Python Developer with 2 years experience",0
"Make money fast, no skills required, limited slots only",1
"Easy online job, earn while you sleep, 100% guaranteed",1
"Immediate joining, salary credited daily, no qualifications needed",1
"Hiring Backend Developer, must know Django and REST APIs",0
"Remote job opening for UI/UX Designer, portfolio required",0
"Part time data entry job, earn 50000 per month, no experience",1
"Send processing fee to confirm your job offer",1
"We offer health insurance, paid leaves, and flexible hours for this role",0
"You have been selected, send your Aadhar and bank account now",1
"Apply now for Marketing Manager role at our MNC company",0
"Lottery winner selected for job, claim your offer today",1
"Internship opportunity at a startup, stipend provided, apply with resume",0
"Work from home and earn daily cash, no skills needed",1
"Congratulations you are selected, pay activation fee now",1
"Earn 1 lakh per month doing simple copy paste work",1
"Send your photo and personal details to confirm selection",1
"No qualification required, guaranteed income every week",1
"We found your resume on Naukri, interested in a high paying job?",1
"Kindly share your Aadhaar and PAN card to proceed with onboarding",1
"This offer expires in 24 hours, act now to secure your position",1
"You can earn unlimited income from home with our system",1
"Pay security deposit to receive your work from home kit",1
"Send OTP to verify your job application immediately",1
"Our company is hiring freshers with 100% job guarantee",1
"Vacancy for home based workers, no target no pressure",1
"Earn commissions daily by sharing links, no investment needed",1
"Job offer from abroad, visa sponsorship, send passport copy",1
"Selected candidates must pay training fee before joining",1
"We are a Fortune 500 company hiring remote data entry staff",1
"WhatsApp us to confirm your job, limited seats available",1
"Online typing job, earn per word, no experience required",1
"Earn by watching videos and completing surveys from home",1
"Software Developer role at Infosys, apply through official portal",0
"We are looking for a Machine Learning Engineer with TensorFlow experience",0
"HR Manager position open, must have 5 years of experience",0
"Content Writer needed for our blog, flexible hours, apply via email",0
"Internship at Microsoft for final year students, stipend 25000 per month",0
"Join our QA team, knowledge of Selenium and JIRA required",0
"We provide offer letter only after successful interview rounds",0
"Our hiring process includes aptitude test, technical round and HR round",0
"Sales Executive needed, must have own vehicle, salary plus incentives",0
"Graphic Designer opening, must know Photoshop and Illustrator",0
"Java Developer needed, 3 years experience, Bangalore location",0
"Apply for our graduate trainee program, open to all engineering branches",0
"Network Engineer position, CCNA certification preferred",0
"Business Analyst role, must have experience in requirement gathering",0
"DevOps Engineer opening, knowledge of Docker and Kubernetes required",0
"Part time opportunity, earn money without doing anything, join now",1
"Your profile has been shortlisted, send bank details for salary processing",1
"Guaranteed placement after 2 week online training, pay fees now",1
"Work only 2 hours a day and earn 80000 per month",1
"Investment required to start earning, get returns daily",1
"Refer friends and earn cash rewards, no work needed",1
"We will pay you in advance, just complete simple tasks online",1
"Urgently need home workers, no experience, immediate start",1
"Send your selfie and ID proof to claim your job offer",1
"Our agent will contact you, share your details to proceed",1
"Dear candidate, we are pleased to offer you the position of Software Engineer at TCS, joining date 1st August",0
"Your interview has been scheduled for Monday 10am, please bring your resume and certificates",0
"We regret to inform you that you have not been selected for this role, thank you for applying",0
"Congratulations on clearing all rounds, your offer letter will be sent to your registered email",0
"Please complete your background verification process through our official HRMS portal",0
"Your CTC will be 6 LPA with additional benefits including medical insurance and PF",0
"Kindly report to our Bangalore office on your joining date with original documents",0
"We are conducting a walk-in drive this Saturday for freshers, no registration required",0
"Your probation period will be 6 months followed by a performance review",0
"Please sign and return the attached offer letter before the deadline",0
"We offer 5 days work week, hybrid model with 3 days work from home",0
"Your annual increment will be based on your performance rating",0
"The role requires you to work in US shift timings, cab facility will be provided",0
"Please submit your educational certificates and experience letters on joining day",0
"Our HR team will reach out to you within 3 working days regarding next steps",0
"You have been selected for the Associate Engineer role, salary 4.5 LPA",0
"Kindly complete the online assessment before your technical interview",0
"We are looking for a React developer with minimum 1 year experience",0
"Your offer is contingent on successful completion of background verification",0
"Please find attached your appointment letter for the role of Data Analyst",0
"The position requires travel to client locations occasionally",0
"Your EPF and ESIC will be deducted as per government norms",0
"We provide 21 days of paid leave annually along with public holidays",0
"Please update your details on our onboarding portal within 48 hours",0
"The interview will be conducted via Microsoft Teams, link shared on email",0
"We are a NASSCOM registered company with offices in 5 cities across India",0
"Your role will involve working with cross functional teams on product development",0
"Please note that this offer is valid for 15 days from the date of issue",0
"Our company policy does not allow moonlighting during employment",0
"The selected candidate will undergo 2 weeks of classroom training at our facility",0
"Earn 5 lakh per month from home, no experience no qualification needed apply now",1
"We select 10 lucky candidates daily for our work from home program",1
"Your resume was randomly selected, you are eligible for 80000 per month job",1
"No target no boss no timing, earn as much as you want from home",1
"Trusted company hiring home workers, salary 1000 per hour guaranteed",1
"Join our online earning program, investment of 2000 required to start",1
"Make 500 per day just by liking posts on Instagram and Facebook",1
"Get paid to chat online, earn 50000 monthly, no experience needed",1
"We are hiring Amazon work from home packers, earn 40000 per month",1
"Flipkart home delivery partner needed, pay 3000 registration to start",1
"Google is hiring home based data entry workers, apply via WhatsApp",1
"Tata company job offer, send your details to claim your appointment letter",1
"RBI approved online earning scheme, earn 10000 daily guaranteed",1
"Part time job for housewives and students, earn 25000 per week",1
"Online form filling job, earn 300 per form, unlimited forms available",1
"We provide weekly salary, no documents required, start today itself",1
"Mega job fair, 100% placement guarantee, pay 5000 registration fee",1
"Foreign company hiring Indians for remote work, salary in dollars",1
"Your profile matched our requirement, send Aadhaar to get appointment letter",1
"Earn by investing, double your money in 30 days, trusted platform",1
"We are pleased to offer you the role of Business Analyst at Wipro, CTC 7 LPA",0
"Your technical interview is scheduled for Wednesday, the panel will include 2 engineers",0
"Please complete the pre-joining formalities on our HRMS within 7 working days",0
"The position is based out of our Hyderabad office, relocation assistance will be provided",0
"Your designation will be Associate Software Engineer, band B2",0
"We follow a structured appraisal cycle twice a year for all employees",0
"Kindly submit your relieving letter from your previous employer on day one",0
"Our recruitment process involves 3 rounds, aptitude, technical and HR",0
"You will be working under the guidance of a senior engineer for the first 3 months",0
"The offer includes gratuity, medical insurance for family and performance bonus",0
"Please note your employee ID will be generated after document verification",0
"We are an ISO certified company and follow all statutory compliance norms",0
"Your notice period will be 60 days after confirmation of employment",0
"The client interview will be conducted by the onsite team via video call",0
"We are expanding our Chennai team and looking for freshers with good communication",0
"Your joining bonus of 50000 will be paid after 6 months of service",0
"Please carry 2 passport size photos and all original marksheets on joining day",0
"The project you will be working on involves React and Node.js",0
"Our leave policy includes 12 casual leaves and 12 sick leaves per year",0
"You will receive a confirmation email from our talent acquisition team shortly",0
"Background check will be done by a third party agency, please cooperate fully",0
"The salary will be credited on the last working day of every month",0
"We are looking for a cloud engineer with AWS certification preferred",0
"Your internship will be for 6 months with a possibility of full time conversion",0
"Please digitally sign your offer letter using the link sent to your email",0
"We need a cybersecurity analyst with experience in SIEM tools and penetration testing",0
"The role involves client communication so strong English skills are required",0
"Our Pune office is hiring for the night shift, transport will be provided",0
"Selected candidates will receive an official offer letter on company letterhead",0
"We have a structured mentorship program for all new joiners in the first quarter",0
"Earn 2 lakh per month sitting at home, no work just refer and earn",1
"Send 1500 rupees to activate your work from home account and start earning",1
"You have won a job lottery, claim your offer by sending your details",1
"Our company pays 1000 rupees per hour for simple mobile tasks",1
"No boss no office no stress, earn unlimited from your phone daily",1
"Trusted by 10 lakh members, join our home earning family today",1
"Special offer for students and housewives, earn 30000 weekly guaranteed",1
"Pay 2000 joining fee and get a guaranteed government job",1
"We are agents for a Dubai company, send passport and pay visa fee",1
"Get a call center job from home, no experience, salary 45000 per month",1
"Amazon and Flipkart need home packers urgently, pay 500 to register",1
"Send your photo ID and selfie to confirm your selection for this job",1
"Earn money by watching YouTube videos, 200 rupees per video guaranteed",1
"Our online business opportunity requires only 3000 investment to start",1
"Work from home job for females only, earn 60000 monthly, call now",1
"Government job vacancy, apply by sending your details and 1000 processing fee",1
"You are pre-selected based on your qualification, just pay to confirm",1
"International BPO hiring, no interview, salary 80000, join in 2 days",1
"Daily payment guaranteed, work from mobile, no target, join WhatsApp group",1
"Earn commission by recruiting others, no product no work needed",1
"We found your CV on LinkedIn, you are selected, share your bank details for advance salary",1
"Free job registration today only, tomorrow fee will be 5000",1
"Our recruiter will call you, just share your Aadhaar and account number",1
"Passive income opportunity, earn while travelling, no skills needed",1
"Mega recruitment drive, 500 vacancies, guaranteed selection, pay 3000 now",1
"Online reselling job, earn 40000 per month, pay 1500 for starter kit",1
"Your application is approved, send OTP received on your phone to confirm",1
"Work as a mystery shopper, earn 5000 per day, no experience needed",1
"Earn by playing games on your phone, 100 rupees per game guaranteed",1
"We will send you products to review, earn 2000 per review from home",1
